month,date,tier,bucket_name,unlock_tokens,unlock_pct_of_bucket,cumulative_tokens,cumulative_pct_of_bucket,notes
7,2025-09-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
7,2025-09-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,49200000,5.0,Linear vesting
7,2025-09-05,tier_2_entity_controlled,Development Company,3214000,1.8,51428000,28.6,Linear vesting
7,2025-09-05,tier_3_community,Community Incentives,13964000,2.0,131428000,19.0,Linear vesting
8,2025-10-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
8,2025-10-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
8,2025-10-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
8,2025-10-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
8,2025-10-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,63900000,6.5,Linear vesting
8,2025-10-05,tier_2_entity_controlled,Development Company,3214000,1.8,54642000,30.4,Linear vesting
8,2025-10-05,tier_3_community,Community Incentives,13964000,2.0,145392000,21.1,Linear vesting
9,2025-11-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
9,2025-11-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
9,2025-11-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
9,2025-11-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
9,2025-11-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,78600000,7.9,Linear vesting
9,2025-11-05,tier_2_entity_controlled,Development Company,3214000,1.8,57856000,32.1,Linear vesting
9,2025-11-05,tier_3_community,Community Incentives,13964000,2.0,159356000,23.1,Linear vesting
10,2025-12-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
10,2025-12-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
10,2025-12-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
10,2025-12-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
10,2025-12-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,93300000,9.4,Linear vesting
10,2025-12-05,tier_2_entity_controlled,Development Company,3214000,1.8,61070000,33.9,Linear vesting
10,2025-12-05,tier_3_community,Community Incentives,13964000,2.0,173320000,25.1,Linear vesting
11,2026-01-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
11,2026-01-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
11,2026-01-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
11,2026-01-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
11,2026-01-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,108000000,10.9,Linear vesting
11,2026-01-05,tier_2_entity_controlled,Development Company,3214000,1.8,64284000,35.7,Linear vesting
11,2026-01-05,tier_3_community,Community Incentives,13964000,2.0,187284000,27.1,Linear vesting
12,2026-02-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,81250000,27.1,Cliff ends - linear vesting begins
12,2026-02-05,tier_1_profit_seeking,Seed Round 2,15000000,25.0,15000000,25.0,Cliff ends - 25% unlock
12,2026-02-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,16250000,27.1,Cliff ends - linear vesting begins
12,2026-02-05,tier_1_profit_seeking,Team,13333000,2.8,13333000,2.8,Cliff ends - linear vesting begins
12,2026-02-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,122700000,12.4,Linear vesting
12,2026-02-05,tier_2_entity_controlled,Development Company,3214000,1.8,67498000,37.5,Linear vesting
12,2026-02-05,tier_3_community,Community Incentives,13964000,2.0,201248000,29.2,Linear vesting
13,2026-03-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,87500000,29.2,Linear vesting
13,2026-03-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,16250000,27.1,Linear vesting begins
13,2026-03-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,17500000,29.2,Linear vesting
13,2026-03-05,tier_1_profit_seeking,Team,13333000,2.8,26666000,5.6,Linear vesting
13,2026-03-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,137400000,13.9,Linear vesting
13,2026-03-05,tier_2_entity_controlled,Development Company,3214000,1.8,70712000,39.3,Linear vesting
13,2026-03-05,tier_3_community,Community Incentives,13964000,2.0,215212000,31.2,Linear vesting
14,2026-04-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,93750000,31.3,Linear vesting
14,2026-04-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,17500000,29.2,Linear vesting
14,2026-04-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,18750000,31.3,Linear vesting
14,2026-04-05,tier_1_profit_seeking,Team,13333000,2.8,39999000,8.3,Linear vesting
14,2026-04-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,152100000,15.4,Linear vesting
14,2026-04-05,tier_2_entity_controlled,Development Company,3214000,1.8,73926000,41.1,Linear vesting
14,2026-04-05,tier_3_community,Community Incentives,13964000,2.0,229176000,33.2,Linear vesting
15,2026-05-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,100000000,33.3,Linear vesting
15,2026-05-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,18750000,31.3,Linear vesting
15,2026-05-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,20000000,33.3,Linear vesting
15,2026-05-05,tier_1_profit_seeking,Team,13333000,2.8,53332000,11.1,Linear vesting
15,2026-05-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,166800000,16.8,Linear vesting
15,2026-05-05,tier_2_entity_controlled,Development Company,3214000,1.8,77140000,42.9,Linear vesting
15,2026-05-05,tier_3_community,Community Incentives,13964000,2.0,243140000,35.2,Linear vesting
16,2026-06-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,106250000,35.4,Linear vesting
16,2026-06-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,20000000,33.3,Linear vesting
16,2026-06-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,21250000,35.4,Linear vesting
16,2026-06-05,tier_1_profit_seeking,Team,13333000,2.8,66665000,13.9,Linear vesting
16,2026-06-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,181500000,18.3,Linear vesting
16,2026-06-05,tier_2_entity_controlled,Development Company,3214000,1.8,80354000,44.6,Linear vesting
16,2026-06-05,tier_3_community,Community Incentives,13964000,2.0,257104000,37.3,Linear vesting
