month,date,tier,bucket_name,unlock_tokens,unlock_pct_of_bucket,cumulative_tokens,cumulative_pct_of_bucket,notes
11,2020-12-15,tier_1_profit_seeking,Series A,375000,8.33,4500000,100.00,Linear vesting complete (12/12)
11,2020-12-15,tier_1_profit_seeking,Series B,1433333,8.33,17200000,100.00,Linear vesting complete (12/12)
11,2020-12-15,tier_1_profit_seeking,CoinList Public Sale,175000,8.33,2100000,100.00,Linear vesting complete (12/12)
11,2020-12-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,10000000,33.33,Linear vesting (12/36)
11,2020-12-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,20000000,10.00,Linear vesting (12/120)
12,2021-01-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,10833333,36.11,Linear vesting (13/36)
12,2021-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,21666667,10.83,Linear vesting (13/120)
18,2021-07-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,15833333,52.78,Linear vesting (19/36)
18,2021-07-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,31666667,15.83,Linear vesting (19/120)
24,2022-01-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,20833333,69.44,Linear vesting (25/36)
24,2022-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,41666667,20.83,Linear vesting (25/120)
35,2022-12-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,30000000,100.00,Linear vesting complete (36/36)
35,2022-12-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,60000000,30.00,Linear vesting (36/120)
36,2023-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,61666667,30.83,Linear vesting (37/120)
48,2024-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,81666667,40.83,Linear vesting (49/120)
60,2025-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,101666667,50.83,Linear vesting (61/120)
72,2026-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,121666667,60.83,Linear vesting (73/120)
84,2027-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,141666667,70.83,Linear vesting (85/120)
96,2028-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,161666667,80.83,Linear vesting (97/120)
108,2029-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,181666667,90.83,Linear vesting (109/120)
119,2029-12-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,200000000,100.00,Linear vesting complete (120/120)
